"Item #","Item Description",MSP,"Retail Price","Dealer Price","Sale Price","Sale Ends",Quantity,"UPC Code",Manufacturer,"Gun Type","Model Series",Caliber,Action,Capacity,Finish,Stock,Sights,"Barrel Length","Overall Length",Features
13213,"RUG EC9S 9MM PST B 7RD FLAG DE",$289.99,$419.00,$289.99,,,14,#736676132133#,Ruger,"Pistol: Semi-Auto",EC9s,"9MM LUGER","Striker Fired/ Short/ Light/ Crisp Trigger",7+1,"Battleworn Flag/ Stripes On Frame","American Flag","Integral Sights",3.12,6,"Magazine Disconnect/ Visual Inspection Port"
3285,"RUG EC9S 9MM PST B 7RD TURQ TL",$257.99,$369.00,$257.99,,,0,#736676032853#,Ruger,"Pistol: Semi-Auto",EC9s,"9MM LUGER","Striker Fired/ Short/ Light/ Crisp Trigger",7+1,"Turquoise Cerakote Frame/ Blued Slide","Turquoise/ High Perf Glass-Filled Nylon Frame","Integral Sights",3.12,6,"Magazine Disconnect/ Visual Inspection Port"
3287,"RUG EC9S 9MM PST B 7RD PURP TL",$257.99,$369.00,$257.99,,,1,#736676032877#,Ruger,"Pistol: Semi-Auto",EC9s,"9MM LUGER","Striker Fired/ Short/ Light/ Crisp Trigger",7+1,"Purple Cerakote Frame/ Blued Slide","Purple/ High Perf Glass-Filled Nylon Frame","Integral Sights",3.12,6,"Magazine Disconnect/ Visual Inspection Port"
3289,"RUG EC9S 9MM PST 7RD DDE DE",$259.99,$379.00,$259.99,,,99+,#736676032891#,Ruger,"Pistol: Semi-Auto",EC9s,"9MM LUGER","Striker Fired/ Short/ Light/ Crisp Trigger",7+1,"Davidson's Dark Earth Cerakote","High Perf Glass-Filled Nylon Frame","Integral Sights",3.12,6,"Magazine Disconnect/ Visual Inspection Port"
13200,"RUG EC9S 9MM PST S 7RD TURQ",$256.00,$389.00,$256.00,,,16,#736676132003#,Ruger,"Pistol: Semi-Auto",EC9s,"9MM LUGER","Striker Fired/ Short/ Light/ Crisp Trigger",7+1,"Turquoise Cerakote Frame/ Stainless Slide","Turquoise/ High Perf Glass-Filled Nylon Frame","Integral Sights",3.12,6,"Magazine Disconnect/ Visual Inspection Port"
13201,"RUG EC9S 9MM PST B 7RD GRAY",$243.00,$369.00,$243.00,,,16,#736676132010#,Ruger,"Pistol: Semi-Auto",EC9s,"9MM LUGER","Striker Fired/ Short/ Light/ Crisp Trigger",7+1,"Gray Frame/ Black Oxide Slide","Gray/ High Perf Glass-Filled Nylon Frame","Integral Sights",3.12,6,"Magazine Disconnect/ Visual Inspection Port"
3295,"RUG EC9S 9MM PST S 7RD PURP",$256.00,$389.00,$256.00,,,12,#736676032952#,Ruger,"Pistol: Semi-Auto",EC9s,"9MM LUGER","Striker Fired/ Short/ Light/ Crisp Trigger",7+1,"Purple Frame/ Aluminum Cerakote Slide","Purple/ High Perf Glass-Filled Nylon Frame","Integral Sights",3.12,6,"Magazine Disconnect/ Visual Inspection Port"
3297,"RUG EC9S 9MM PST B 7RD FDE",$244.00,$369.00,$244.00,,,6,#736676032976#,Ruger,"Pistol: Semi-Auto",EC9s,"9MM LUGER","Striker Fired/ Short/ Light/ Crisp Trigger",7+1,"FDE Frame/ Black Oxide Slide","FDE/ High Perf Glass-Filled Nylon Frame","Integral Sights",3.12,6,"Magazine Disconnect/ Visual Inspection Port"
8605,"RUG AM-PST 9MM B 17RD",$457.00,$689.00,$457.00,,,5,#736676086054#,Ruger,"Pistol: Semi-Auto","American Pistol","9MM LUGER","Striker Fire",17+1,"Stainless Steel|Black Nitride","One-Piece High-Perf Glass Filled Nylon","Genuine Novak LoMount 3-Dot",4.2,7.5,"1913 Picatinny Rail/ Stainless BBL/ Ambi Slide Stop"
8672,"RUG AM-PST COMP 9MM PST B 17RD",$457.00,$689.00,$457.00,,,0,#736676086726#,Ruger,"Pistol: Semi-Auto","American Pistol","9MM LUGER","Striker Fire",17+1,"Stainless Steel|Black Nitride","One-Piece High-Perf Glass Filled Nylon","FT: Fiber Optic RR: Adjustable Target",5,8.3,"1913 Picatinny Rail/ Stainless BBL/ Ambi Slide Stop"
8638,"RUG AM-PST 9MM B 10RD MS",$457.00,$689.00,$457.00,,,4,#736676086382#,Ruger,"Pistol: Semi-Auto","American Pistol","9MM LUGER","Striker Fire",10+1,"Stainless Steel|Black Nitride","One-Piece High-Perf Glass Filed Nylon","Genuine Novak LoMount 3-Dot",4.2,7.5,"1913 Picatinny Rail/ Stainless BBL/ Ambi Slide Stop"
8618,"RUG AM-PST 45AP B 10RD MS",$457.00,$689.00,$457.00,,,0,#736676086184#,Ruger,"Pistol: Semi-Auto","American Pistol","45 AUTO","Striker Fire",10+1,"Stainless Steel|Black Nitride","One-Piece High-Perf Glass Filed Nylon","Genuine Novak LoMount 3-Dot",4.5,8,"1913 Picatinny Rail/ Stainless BBL/ Ambi Slide Stop"
8635,"RUG AM-C PST 9MM B 17RD",$457.00,$689.00,$457.00,,,0,#736676086351#,Ruger,"Pistol: Semi-Auto","American Pistol","9MM LUGER","Striker Fire","12+1 & 17+1","Stainless Steel|Black Nitride","One-Piece High-Perf Glass Filled Nylon","Genuine Novak LoMount 3-Dot",3.55,6.65,"1913 Picatinny Rail/ Stainless BBL/ Ambi Slide Stop"
8639,"RUG AM-C PST 9MM B 17RD MS",$457.00,$689.00,$457.00,,,2,#736676086399#,Ruger,"Pistol: Semi-Auto","American Pistol","9MM LUGER","Striker Fire","12+1 & 17+1","Stainless Steel|Black Nitride","One-Piece High-Perf Glass Filed Nylon","Genuine Novak LoMount 3-Dot",3.55,6.65,"1913 Picatinny Rail/ Stainless BBL/ Ambi Slide Stop"
8683,"RUG AM-C PST 9MM GRY 17RD",$457.00,$689.00,$457.00,,,4,#736676086832#,Ruger,"Pistol: Semi-Auto","American Pistol","9MM LUGER","Striker Fire","12+1 & 17+1","Stainless Steel|Black Nitride","Gray Cerakote","Genuine Novak LoMount 3-Dot",3.55,6.65,"1913 Picatinny Rail/ Stainless BBL/ Ambi Slide Stop"
8645,"RUG AM-C PST 45AP B 10RD",$457.00,$689.00,$457.00,,,2,#736676086450#,Ruger,"Pistol: Semi-Auto","American Pistol","45 AUTO","Striker Fire","7+1 & 10+1","Stainless Steel|Black Nitride","One-Piece High-Perf Glass Filed Nylon","Genuine Novak LoMount 3-Dot",3.75,7.25,"1913 Picatinny Rail/ Stainless BBL/ Ambi Slide Stop"
8648,"RUG AM-C PST 45AP B 10RD MS",$457.00,$689.00,$457.00,,,2,#736676086481#,Ruger,"Pistol: Semi-Auto","American Pistol","45 AUTO","Striker Fire","7+1 & 10+1","Stainless Steel|Black Nitride","One-Piece High-Perf Glass Filed Nylon","Genuine Novak LoMount 3-Dot",3.75,7.25,"1913 Picatinny Rail/ Stainless BBL/ Ambi Slide Stop"
8649,"RUG AM-C PST 45AP B 7RD GRAY",$457.00,$689.00,$457.00,,,1,#736676086498#,Ruger,"Pistol: Semi-Auto","American Pistol","45 AUTO","Striker Fire",7+1,"Stainless Steel|Gray Cerakote","Gray Cerakote Wrap Around Grip Module","Genuine Novak LoMount 3-Dot",3.75,7.25,"1913 Picatinny Rail/ Stainless BBL/ Ambi Slide Stop"
8650,"RUG AM-C PST 45AP B 7RD GY MS",$457.00,$689.00,$457.00,,,3,#736676086504#,Ruger,"Pistol: Semi-Auto","American Pistol","45 AUTO","Striker Fire",7+1,"Stainless Steel|Gray Cerakote","Gray Cerakote Wrap Around Grip Module","Genuine Novak LoMount 3-Dot",3.75,7.25,"1913 Picatinny Rail/ Stainless BBL/ Ambi Slide Stop"
16401,"RUG 57 SA PST 5.7 BLK 20RD",$597.00,$899.00,$597.00,,,29,#736676164011#,Ruger,"Pistol: Semi-Auto","Ruger 57",5.7X28MM,"Striker Fire",20+1,"Black Nitride","High-Perf Glass Filled Nylon","FT: Fiber Optic RR: Adjustable",4.94,8.65,"1913 Picatinny Rail/ Robust Slide Release"
16403,"RUG 57 PRO PST 5.7 BLK 20R NMS",$597.00,$899.00,$597.00,,,0,#736676164035#,Ruger,"Pistol: Semi-Auto","Ruger 57",5.7X28MM,"Striker Fire",20+1,"Black Nitride","High-Perf Glass Filled Nylon","FT: Fiber Optic RR: Adjustable",4.94,8.65,"1913 Picatinny Rail/ Robust Slide Release"
16412,"RUG 57 SA PST 5.7 DDE 20RD DE",$654.99,$959.00,$654.99,,,0,#736676164127#,Ruger,"Pistol: Semi-Auto","Ruger 57",5.7X28MM,"Striker Fire",20+1,"Davidsons Dark Earth","DDE/ High-Perf Glass Filled Nylon","FT: Fiber Optic RR: Adjustable",4.94,8.65,"1913 Picatinny Rail/ Robust Slide Release"
16402,"RUG 57 SA PST 5.7 BLK 10RD",$597.00,$899.00,$597.00,,,8,#736676164028#,Ruger,"Pistol: Semi-Auto","Ruger 57",5.7X28MM,"Striker Fire",10+1,"Black Nitride","High-Perf Glass Filled Nylon","FT: Fiber Optic RR: Adjustable",4.94,8.65,"1913 Picatinny Rail/ Robust Slide Release"
16416,"RUG 57 SA PST 5.7 GOLD 20RD TL",$659.99,$979.00,$659.99,,,0,#736676164165#,Ruger,"Pistol: Semi-Auto","Ruger 57",5.7X28MM,"Striker Fire",20+1,"Black/ Gold Cerakote Slide","High-Perf Glass Filled Nylon","FT: Fiber Optic RR: Adjustable",4.94,8.65,"1913 Picatinny Rail/ Robust Slide Release"
6722,"RUG SR1911-CMD-LW 9MM PST 9RD",$843.00,$1279.00,$843.00,,,3,#736676067220#,Ruger,"Pistol: Semi-Auto",SR1911,"9MM LUGER","Single Action",9+1,"Low-Glare Stainless Steel Slide","Black Rubber Front Strap Serrations","Fixed Novak 3-Dot",4.25,7.75,"Skeletonized Trigger & Hammer/ Visual Inspection Pt"
6700,"RUG SR1911 45AP PST 5SS 8RD",$811.00,$1229.00,$811.00,,,18,#736676067008#,Ruger,"Pistol: Semi-Auto",SR1911,"45 AUTO","Single Action","7+1 & 8+1","Low-Glare Stainless Steel","Hardwood Grips/ Checkered Backstrap","Fixed Novak 3-Dot",5,8.67,"Skeletonized Trigger"
6702,"RUG SR1911-CMD 45AP PST 4.25SS",$811.00,$1229.00,$811.00,,,4,#736676067022#,Ruger,"Pistol: Semi-Auto",SR1911,"45 AUTO","Single Action",7+1,"Low-Glare Stainless Steel","Hardwood Grips/ Checkered Backstrap","Fixed Novak 3-Dot",4.25,7.75,"Skeletonized Trigger"
6711,"RUG SR1911-CMD-LW 45 PST SS 7R",$843.00,$1279.00,$843.00,,,2,#736676067114#,Ruger,"Pistol: Semi-Auto",SR1911,"45 AUTO","Single Action",7+1,"Low-Glare Stainless Steel Slide","Thin Hardwod Grips","Fixed Novak 3-Dot",4.25,7.75,"Skeletonized Trigger & Hammer/ Visual Inspection Pt"
6736,"RUG SR1911 TGT 45AP PST 5SS AS",$858.00,$1299.00,$858.00,,,2,#736676067367#,Ruger,"Pistol: Semi-Auto",SR1911,"45 AUTO","Single Action","7+1 & 8+1","Low-Glare Stainless Steel","Deluxe Checkered G10/ Checkered Backstrap","Rear Adjustable Bomar-Style",5,8.67,"Skeletonized Trigger/ Skeletonized Hammer"
6739,"RUG SR1911 10MM PST 5SS 8RD",$858.00,$1299.00,$858.00,,,20,#736676067398#,Ruger,"Pistol: Semi-Auto",SR1911,"10MM AUTO","Single Action",8+1,"Low-Glare Stainless Steel","Blk Rubberized Grip Panels/ Checkered Backstrap","Bomar Style Adjustable",5,8.67,"Skeletonized Trigger/ Rear Slide Serrations"
6756,"RUG SR1911 NW 10MM PST 5BLK TL",$994.99,$1360.00,$994.99,,,26,#736676067565#,Ruger,"Pistol: Semi-Auto",SR1911,"10MM AUTO","Single Action",8+1,Black,"White Chevron Ivorylite Grips","Tritium Night Sights",5,8.67,"Skeletonized Trigger/ Rear Slide Serrations"
6758,"RUG SR1911-OFC 9MM PST 8R 3SS",$843.00,$1279.00,$843.00,,,2,#736676067589#,Ruger,"Pistol: Semi-Auto",SR1911,"9MM LUGER","Single Action",8+1,"Low-Glare Stainless Steel Slide","Deluxe Checkered G-10 Grip","Drift Adjustable Novak 3-Dot",3.6,7.25,"Skeletonized Trigger & Hammer/ Visual Inspection Pt"
6762,"RUG SR1911-OFC 45AP PST 7R 3S",$843.00,$1279.00,$843.00,,,0,#736676067626#,Ruger,"Pistol: Semi-Auto",SR1911,"45 AUTO","Single Action",7+1,"Low-Glare Stainless Steel Slide","Deluxe Checkered G-10 Grip","Drift Adjustable Novak 3-Dot",3.6,7.25,"Skeletonized Trigger & Hammer/ Visual Inspection Pt"
6759,"RUG SR1911-TRG 9MM PST 9R 5SS",$858.00,$1299.00,$858.00,,,8,#736676067596#,Ruger,"Pistol: Semi-Auto",SR1911,"9MM LUGER","Single Action",9+1,"Low-Glare Stainless Steel Slide","Deluxe Checkered G-10 Grip","Adjustable Target",5,8.67,"Skeletonized Trigger & Hammer/ Visual Inspection Pt"
6776,"RUG SR1911-COMP 45AP 8RD G10",$1656.00,$2499.00,$1656.00,,,0,#736676067763#,Ruger,"Pistol: Semi-Auto",SR1911,"45 AUTO","Single Action",8+1,"Black Nitride & Stainless Two Tone","Textured G10 Grips/ Koenig Engraved On Slide","FT: Fiber Optic RR: Adjustable Target",5,8.67,"Match Trigger/ Techwell Magwell/ Undercut Trigger"
6792,"RUG SR1911 45AP PST 5BLK 8RD",$529.00,$799.00,$529.00,,,30,#736676067923#,Ruger,"Pistol: Semi-Auto",SR1911,"45 AUTO","Single Action","7+1 & 8+1","Black Anodized Aluminum","G10 Grip Panels","Drift Adjustable Novak 3-Dot",5,8.67,"Skeletonized Trigger"
6794,"RUG SR1911 9MM PST 5BLK 9RD",$529.00,$799.00,$529.00,,,3,#736676067947#,Ruger,"Pistol: Semi-Auto",SR1911,"9MM LUGER","Single Action",9+1,"Black Anodized Aluminum Frame|Stainless Slide","G10 Grip Panels","Drift Adjustable Novak 3-Dot",5,8.67,"Skeletonized Trigger"
40175,"RUG MK-IV 75TH ANNI 22LR 6.8B",$387.00,$599.00,$387.00,,,99+,#736676401758#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,Black,"Fully Checkered Wood Laminated Grip","Front: Fixed Undercut Patridge Rear: Adjustable","6.88 Tapered Target Barrel",11,"75th Anniversary Engraved Logo/ Box and Decal"
40118,"RUG MK-IV HTR 22LR PST 6.88SS",$661.00,$999.00,$661.00,,,0,#736676401185#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Satin Stainless Steel","Checkered Laminate","Front: Fiber Optic Rear: Adjustable","6.88 Fluted Bull Barrel",11.12,"Magazine Disconnect"
40177,"RUG MK-IV HTR 22LR 5.5B TALO",$507.99,$692.00,$507.99,,,7,#736676401772#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,Black,"Checkered Laminate Grip","Front: Red Hiviz Rear: Adjustable","5.5 Fluted Bull Barrel",10,"Magazine Disconnect"
40160,"RUG MK-IV HTR 22PST 6.88SS LTG",$704.00,$1069.00,$704.00,,,0,#736676401604#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Satin Stainless Steel","Laminate Target Grips","Front: Fiber Optic Rear: Adjustable","6.88 Fluted Bull Barrel",11.12,"Magazine Disconnect"
40101,"RUG MK-IV TGT 22LR PST 5.5B",$449.00,$679.00,$449.00,,,10,#736676401017#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,Blue,"Black Synthetic|Checkered","Front: Fixed Rear: Adjustable","5.5 Bull Barrel",9.75,"Magazine Disconnect"
40183,"RUG MK-IV TGT 22LR PST 5.5B CA",$449.00,$679.00,$449.00,,,26,#736676401833#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,Blue,"Black Synthetic|Checkered","Front: Fixed Rear: Adjustable","5.5 Bull Barrel",9.75,"Magazine Disconnect"
40103,"RUG MK-IV TGT 22LR PST 5.5SS",$556.00,$839.00,$556.00,,,10,#736676401031#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Satin Stainless Steel","Black Synthetic/ Checkered","Front: Fixed Rear: Adjustable","5.5 Bull Barrel",9.75,"Magazine Disconnect"
40126,"RUG MK-IV TGT 22LR PST 5.5TB S",$579.00,$879.00,$579.00,,,7,#736676401260#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Satin Stainless Steel","Black Synthetic/ Checkered","Front: Fixed Rear: Adjustable","5.5 Threaded Bull Barrel",9.75,"Magazine Disconnect"
40159,"RUG MK-IV TGT 22PST 5.5B LAM",$493.00,$749.00,$493.00,,,4,#736676401598#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,Blue,"Laminate Target Grips","Front: Fixed Rear: Adjustable","5.5 Bull Barrel",9.75,"Magazine Disconnect"
40173,"RUG MK-IV TGT 22LR PST 10B",$490.00,$739.00,$490.00,,,15,#736676401734#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,Blue,"Black Synthetic|Checkered","Front: Fixed Rear: Adjustable","10 Bull Barrel",14,"Magazine Disconnect"
40174,"RUG MK-IV TGT 22LR PST 10SS",$587.00,$899.00,$587.00,,,13,#736676401741#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,Stainless,"Black Synthetic|Checkered","Front: Fixed Rear: Adjustable","10 Bull Barrel",14,"Magazine Disconnect"
40105,"RUG MK-IV STD 22LR PST 6B 10RD",$377.00,$569.00,$377.00,,,15,#736676401055#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,Blue,"Aluminum/ Checkered Grip",Fixed,"6 Tapered",10.25,"Magazine Disconnect/ ergonomic Bolt Stop"
40104,"RUG MK-IV STD 22LR PST 4.75B",$377.00,$569.00,$377.00,,,3,#736676401048#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,Blue,"Aluminum/ Checkered Grip",Fixed,"4.75 Tapered",9,"Magazine Disconnect/ ergonomic Bolt Stop"
40150,"RUG MK-IV TACT 22LR PST 4.4B",$493.00,$749.00,$493.00,,,48,#736676401505#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Black Oxide","Aluminum/ Checkered Synthetic Grip","Front: Fixed Rear: Adjustable","4.4 Threaded Barrel",8.5,"Magazine Disconnect/ Picatinny Rail"
40112,"RUG MK-IV COMP 22LR PST 6.88S",$641.00,$969.00,$641.00,,,33,#736676401123#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Satin Stainless Steel","Checkered Laminate with Thumbrest","Front: Fixed Rear: Adjustable","6.88 Slab-Sided Bull Barrel",11.12,"Magazine Disconnect"
40149,"RUG MK-IV 2245 TAC 22PST 4.4B",$444.00,$669.00,$444.00,,,17,#736676401499#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Black Oxide","Black Synthetic Checkered 1911-Style","Front: Fixed Rear: Adjustable","4.4 1/2x28 Threaded Barrel",8.50,"Magazine Disconnect/ Top and Bottom Picattiny Rails"
40107,"RUG MK-IV 2245 22LR PST 5.5B",$351.00,$529.00,$351.00,,,2,#736676401079#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,Blue,"Black Synthetic|Checkered Polymer","Front: Fixed Rear: Adjustable","5.5 Bull Barrel",9.75,"Magazine Disconnect/ Ergonomic Bolt Stop"
40187,"RUG MK-IV 2245 22LR PST 5.5 CA",$351.00,$529.00,$351.00,,,13,#736676401871#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,Blue,"Black Synthetic|Checkered Polymer","Front: Fixed Rear: Adjustable","5.5 Bull Barrel",9.75,"Magazine Disconnect/ Ergonomic Bolt Stop"
43916,"RUG MKIV 2245 LT 22 4.4 GRN DE",$514.99,$606.98,$514.99,,,28,#736676439164#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Green Anodized","Black Synthetic/ Checkered 1911-Style Grips","Front: Fixed Rear: Adjustable","4.40 1/2-28 Threaded Barrel",8.40,"Magazine Disconnect/ Davidson's Exclusive"
43915,"RUG MKIV 2245 LT 22 4.4 PRP DE",$514.99,$606.98,$514.99,$474.99,11/30/2024,99+,#736676439157#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Purple Anodized","Black Synthetic/ Checkered 1911-Style Grips","Front: Fixed Rear: Adjustable","4.40 1/2-28 Threaded Barrel",8.40,"Magazine Disconnect/ Davidson's Exclusive"
43910,"RUG MKIV 2245 LT 22 4.4 RED DE",$514.99,$606.98,$514.99,,,0,#736676439102#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Red Anodized","Black Synthetic/ Checkered 1911-Style Grips","Front: Fixed Rear: Adjustable","4.40 1/2-28 Threaded Barrel",8.40,"Magazine Disconnect/ Davidson's Exclusive"
40167,"RUG MKIV 2245 TACT 22LR 4.4DDE",$504.99,$595.98,$504.99,,,0,#736676401673#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Davidson's Dark Earth","Pachmayr G10 Grips","Front: Fixed Rear: Adjustable","4.40 1/2-28 Threaded Barrel",8.50,"Magazine Disconnect/ Davidson's Exclusive"
43921,"RUG MKIV 2245 LT 22LR 4.4 LTG",$528.00,$799.00,$528.00,,,0,#736676439218#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Diamond Gray Anodized","Wood Laminate Target Grips","Front: Fixed Rear: Adjustable",4.40,8.40,"Magazine Disconnect/ Non-Threaded Model"
43926,"RUG MKIV 2245 LT 22LR 4.4TB G",$490.00,$739.00,$490.00,,,16,#736676439263#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Gold Anodized","Checkered 1911-Style Grips","Front: Fixed Rear: Adjustable","4.40 1/2-28 Threaded Barrel",8.40,"Magazine Disconnect/ Gold Trigger"
43927,"RUG MKIV 2245 LT 22LR 4.4TB B",$490.00,$739.00,$490.00,,,0,#736676439270#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Black Anodized","Checkered 1911-Style Grips","Front: Fixed Rear: Adjustable","4.40 1/2-28 Threaded Barrel",8.40,"Magazine Disconnect/ Gold Trigger and Barrel"
43957,"RUG MKIV 2245 LT 22LR 4.4 B DE",$499.99,$739.00,$499.99,,,45,#736676439577#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Black Anodized","Checkered 1911-Style Grips","Front: Fixed Rear: Adjustable",4.40,8.40,"Magazine Disconnect/ Red Anodized Trigger"
43953,"RUG MKIV 2245 LT 22LR 4.4TB SG",$490.00,$739.00,$490.00,$475.00,12/20/2024,78,#736676439539#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Silver Gray Anodized","G10 Pachmayr Grip Black","Front: Fixed Rear: Adjustable","4.40 1/2-28 Threaded Barrel",8.40,"Silver Gray Cerakote Upper/ Acorn Cuts"
43945,"RUG MKIV 2245 LT 22LR 4.4B CLR",$490.00,$739.00,$490.00,,,0,#736676439454#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Clear Anodized Slide/ Black Frame","Checkered 1911-Style Grips","Front: Fixed Rear: Adjustable","4.40 1/2-28 Threaded Barrel",8.40,"Magazine Disconnect"
43932,"RUG MKIV 2245 LT 22LR 4B GD DE",$514.99,$619.99,$514.99,,,49,#736676439324#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Blue Anodized","Black Synthetic/ Gold Trigger","Front: Fixed Rear: Adjustable","4.40 Shroud Barrel/ Threaded",8.40,"Magazine Disconnect/ Davidson's Exclusive"
43934,"RUG MKIV 2245 LT 22LR 4B DG GD",$490.00,$739.00,$490.00,,,11,#736676439348#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Diamond Gray Anodized","Checkered 1911 Style Grips/ Gold Trigger","Front: Fixed Rear: Adjustable","4.40 Shroud Barrel/ Threaded",8.40,"Magazine Disconnect"
43949,"RUG MKIV 2245 LT 22LR 4.4B FO",$490.00,$739.00,$490.00,,,0,#736676439492#,Ruger,"Pistol: Semi-Auto","Mark IV",22LR,"Single Action",10+1,"Black Anodized Frame/ Clear Anodized","Checkered 1911-Style Grips","Front: Fiber Optic Rear: Adjustable","4.40 1/2-28 Threaded Barrel/ Stainless",8.40,"Magazine Disconnect"
3600,"RUG SR22PB 22LR DA PST 3.5B AS",$374.00,$559.00,$374.00,,,15,#736676036004#,Ruger,"Pistol: Semi-Auto",SR22,22LR,"Double Action",10+1,"Black Anodize","Black Synthetic","Front: Ramp 1 Dot Rear: Adjustable 2 Dot",3.5,6.4,"Magazine Disconnect/ Loaded Chamber Indicator"
3657-RUG,"RUG SR22PB 22LR DA 3.5B AS CA",$374.00,$559.00,$374.00,,,0,#736676036578#,Ruger,"Pistol: Semi-Auto",SR22,22LR,"Double Action",10+1,"Black Anodize","Black Synthetic","Front: Ramp 1 Dot Rear: Adjustable 2 Dot",3.5,6.4,"Magazine Disconnect/ Loaded Chamber Indicator"
3604,"RUG SR22PBT 22LR PST 3.5B TB",$411.00,$619.00,$411.00,,,0,#736676036042#,Ruger,"Pistol: Semi-Auto",SR22,22LR,"Double Action",10+1,"Black Anodize","Black Synthetic","Front: Ramp 1 Dot Rear: Adjustable 2 Dot","3.5 With Threaded Barrel",6.4,"Magazine Disconnect/ Loaded Chamber Indicator"
3607,"RUG SR22PS 22LR DA PST 3.5SS",$396.00,$599.00,$396.00,,,0,#736676036073#,Ruger,"Pistol: Semi-Auto",SR22,22LR,"Double Action",10+1,"Silver Anodized Slide","Black Synthetic","Front: Ramp 1 Dot Rear: Adjustable 2 Dot",3.5,6.4,"Magazine Disconnect/ Loaded Chamber Indicator"
3620,"RUG SR22 22LR DA PST 4.5B AS",$392.00,$589.00,$392.00,,,0,#736676036202#,Ruger,"Pistol: Semi-Auto",SR22,22LR,"Double Action",10+1,"Black Anodize","Black Synthetic","Front: Ramp 1 Dot Rear: Adjustable 2 Dot",4.5,7.4,"Magazine Disconnect/ Loaded Chamber Indicator"
3611,"RUG SR22PB 22LR 3.5B 3-MAG TL",$399.99,$587.00,$399.99,,,0,#736676036110#,Ruger,"Pistol: Semi-Auto",SR22,22LR,"Double Action",10+1,"Black Anodize","Black Synthetic","Front: Ramp 1 Dot Rear: Adjustable 2 Dot","3.5 Blued Barrel",6.4,"Magazine Disconnect/ Loaded Chamber Indicator"
3647,"RUG SR22P 22LR PST 3.5 ROSE TL",$414.99,$609.00,$414.99,,,0,#736676036479#,Ruger,"Pistol: Semi-Auto",SR22,22LR,"Double Action",10+1,"Rose Gold Cerakote","Black Grip Frame","Front: Ramp 1 Dot Rear: Adjustable 2 Dot",3.5,6.4,"Magazine Disconnect/ Loaded Chamber Indicator"
4923,"RUG 22 CHRGR 22LR 15RD POLY",$262.00,$399.00,$262.00,,,7,#736676049233#,Ruger,"Pistol: Semi-Auto","22 Charger",22LR,"Single Action",15+1,"Matte Black","Black Polymer/ A2 Style Pistol Grip","No Sights",10,19.25,"Bi-Pod Included"
4924,"RUG 22 CHRGR T-DWN 22LR 15R P",$350.00,$529.00,$350.00,,,3,#736676049240#,Ruger,"Pistol: Semi-Auto","22 Charger",22LR,"Single Action",15+1,"Matte Black","Black Polymer/ A2 Style Pistol Grip","No Sights",10,19.25,"Bi-Pod Included"
